-----------------------------------
IP Address	MAC Address
-----------------------------------
192.168.1.9	64:00:6a:40:83:5b
192.168.1.10	08:94:ef:fc:ec:da
192.168.1.11	7c:8a:e1:d7:6b:64
192.168.1.12	24:0f:9b:14:5b:4e
192.168.1.13	24:28:fd:ac:61:f7
192.168.1.14	24:28:fd:ac:61:f6
192.168.3.14	64:00:6a:0a:91:65
192.168.1.15	24:28:fd:ac:61:ee
192.168.1.16	24:28:fd:ac:61:e6
192.168.1.17	24:28:fd:ac:61:d7
192.168.1.18	24:28:fd:ac:60:cc
192.168.1.19	24:28:fd:ac:61:ed
192.168.1.25	00:00:c0:3f:ca:8c
192.168.2.35	0c:9a:3c:9f:d7:42
192.168.3.8	3c:6a:a7:95:04:61
192.168.1.1	18:b1:69:5f:ff:b8
192.168.1.34	00:17:61:11:0c:0a
192.168.1.35	00:17:61:10:a5:7f
192.168.3.46	f4:8e:38:79:65:c3
192.168.1.60	c4:34:6b:6f:44:89
192.168.2.72	10:62:e5:4c:6e:9e
192.168.2.76	d8:cb:8a:09:c8:8d
192.168.2.84	50:7b:9d:e1:5c:47
192.168.3.103	88:51:fb:82:07:7b
192.168.1.110	bc:c3:42:05:19:1d
192.168.1.112	08:00:23:57:10:fc
192.168.1.113	08:00:23:57:10:fd
192.168.1.111	bc:c3:42:05:19:1e
192.168.1.119	f0:9f:fc:60:f1:5a
192.168.1.120	14:50:51:3f:c1:c6
192.168.3.15	12:13:92:9b:05:53
192.168.1.122	24:31:84:a9:f4:dc
192.168.2.15	d4:25:8b:ce:c2:e6
192.168.3.18	a4:34:d9:b4:57:ad
192.168.2.24	00:45:e2:9f:24:1f
192.168.3.141	64:00:6a:20:a5:2c
192.168.1.142	38:af:d7:37:4f:20
192.168.1.149	c4:34:6b:6e:d6:5c
192.168.2.58	00:27:10:30:36:34
192.168.1.165	44:8a:5b:76:ee:42
192.168.1.167	64:00:6a:22:26:7e
192.168.1.168	7c:5a:1c:21:4e:08
192.168.3.57	64:5d:86:2a:24:11
192.168.1.56	dc:21:48:3c:de:b7
192.168.1.175	00:22:4d:48:ce:d3
192.168.1.181	7c:5a:1c:21:50:d8
192.168.1.187	4c:cc:6a:1f:4d:86
192.168.1.190	8c:dc:d4:36:2b:31
192.168.1.193	18:03:73:51:82:93
192.168.1.199	c4:34:6b:6d:5a:3a
192.168.2.203	18:03:73:14:fe:51
192.168.2.50	70:3a:51:4c:77:ea
192.168.2.204	68:f7:28:fb:64:1d
192.168.1.213	7c:5a:1c:21:4d:2c
192.168.1.40	44:85:00:cd:f7:03
192.168.3.221	c4:34:6b:67:23:b3
192.168.3.22	e8:b1:fc:aa:8f:e3
192.168.3.223	f4:8e:38:7d:98:dd
192.168.3.76	48:45:20:36:09:2f
192.168.3.198	c8:21:85:94:0a:87
192.168.3.230	f4:8e:38:8a:33:1d
192.168.1.232	c4:34:6b:6f:4d:12
192.168.2.69	f0:d5:bf:cc:bf:d7
192.168.1.240	7c:5a:1c:21:4e:80
192.168.1.241	c4:34:6b:70:66:52
192.168.3.77	7c:6b:9c:21:cf:bd
192.168.3.240	64:00:6a:4b:6c:c9
192.168.1.247	18:03:73:18:68:d7
192.168.3.81	3c:6a:a7:99:07:af
192.168.3.92	5c:5f:67:ff:00:73
192.168.3.94	48:45:20:54:c8:60
192.168.1.100	0c:9a:3c:ff:d1:74
192.168.1.121	f0:d5:bf:c1:ba:01
192.168.3.117	dc:21:48:03:56:1f
192.168.1.118	e8:84:a5:ea:b7:7b
192.168.1.139	00:45:e2:5d:02:c7
192.168.1.127	dc:21:48:32:2d:be
192.168.1.148	7c:76:35:aa:8b:7e
192.168.1.126	e8:2a:ea:0c:e0:1d
192.168.3.148	a4:34:d9:e1:4d:26
192.168.1.135	b4:6b:fc:af:4a:38
192.168.3.142	8c:70:5a:9e:13:ec
192.168.2.154	3c:6a:a7:99:07:41
192.168.1.160	4e:b7:a9:5d:19:7b
192.168.1.151	1c:bf:ce:d9:8d:a5
192.168.2.135	e8:b1:fc:a9:d6:0c
192.168.2.151	6c:88:14:7f:52:14
192.168.1.152	e8:2a:ea:9a:45:93
192.168.1.157	32:cb:30:a9:88:f7
192.168.1.173	36:d9:71:b8:8d:82
192.168.1.158	e8:b1:fc:27:84:09
192.168.1.171	44:85:00:fa:6e:f0
192.168.1.154	e8:b1:fc:2e:d8:df
192.168.1.161	e8:b1:fc:f6:5c:98
192.168.1.131	e8:b1:fc:27:7a:09
192.168.3.167	d4:6d:6d:da:ae:1c
192.168.1.163	e4:b3:18:d0:69:0c
192.168.1.184	4c:34:88:52:e9:91
192.168.1.186	60:67:20:eb:a6:94
192.168.2.177	d4:6d:6d:c3:df:2a
192.168.1.179	e0:9d:31:1c:c6:c8
192.168.1.178	f4:8c:50:3a:fe:3f
192.168.1.183	f4:8c:50:01:9e:f1
192.168.3.183	7c:76:35:b2:31:94
192.168.1.205	34:f3:9a:05:81:51
192.168.3.196	e8:2a:ea:18:a5:d8
